DATE,SYMBOL,VOLUME,%_DIFF_FROM_PRIOR,CLOSE
2014-07-01,PMCM,150377615.0,91.55,0.0023
2014-07-01,APPZ,41011418.0,575.533,0.0013
2014-07-01,EHOS,29671751.0,1641.285,0.0022
2014-07-01,AHFD,17656684.0,-38.849,0.0008
2014-07-01,REAC,14699843.0,186.994,0.0001
2014-07-01,SFMI,13445000.0,44.858,0.0004
2014-07-01,SANP,8471904.0,3858.834,0.0006
2014-07-01,IWEB,7758030.0,-60.807,0.0013
2014-07-01,LQMT,6899872.0,221.176,0.241
2014-07-01,FNMA,5970434.0,67.131,3.92
2014-07-01,IDOI,5293475.0,-25.194,0.0006
2014-07-01,IDNG,3857120.0,185.862,0.0035
2014-07-01,FMCC,3011713.0,50.61,3.84
2014-07-01,UAPC,2911620.0,9.459,0.0024
2014-07-01,BFRE,1895059.0,60.702,0.0035
2014-07-01,NPWZ,1889794.0,63.179,0.0155
2014-07-01,ELTP,1622540.0,-27.406,0.42
2014-07-01,AMZZ,1586430.0,27.967,0.008
2014-07-01,COSR,1513966.0,-33.651,0.0089
2014-07-01,MLCG,1205827.0,1039.282,0.0405
2014-07-01,MYRY,811002.0,224.401,0.0125
2014-07-01,BCLI,787296.0,-33.433,0.365
2014-07-01,HKUP,718600.0,-19.501,0.032
2014-07-01,DMHI,693700.0,274.485,0.01
2014-07-01,MCIG,658882.0,4.397,0.4825
2014-07-01,CTSO,643541.0,75.182,0.24
2014-07-01,PTRC,636500.0,-59.034,0.069
2014-07-01,VSYM,547416.0,-78.828,0.028
2014-07-01,HJOE,512865.0,159.823,0.065
2014-07-01,PWDY,502800.0,256.596,0.0022
2014-07-01,OBJE,484725.0,82.51,0.08
2014-07-01,EXSL,424355.0,-77.33,0.0119
2014-07-01,GNIN,352694.0,734.858,0.058
2014-07-01,BLUU,330647.0,3.678,0.0102
2014-07-01,MZEI,306344.0,42.602,0.19
2014-07-01,APHD,303000.0,-39.4,0.002
2014-07-01,DPSM,292424.0,232.009,0.255
2014-07-01,ANYI,287011.0,-55.944,0.0139
2014-07-01,AEMD,281500.0,-48.784,0.18
2014-07-01,NHLD,277340.0,114.225,0.58
2014-07-01,ECPN,242839.0,133.51,0.18
2014-07-01,PROP,239855.0,124.691,0.23
2014-06-30,AWGI,239098.0,77.656,0.019
2014-07-01,WTER,238580.0,197.901,0.125
2014-07-01,SCRC,223642.0,-19.842,0.115
2014-07-01,AGIN,219847.0,-5.994,0.0527
2014-07-01,KRED,217110.0,34.907,0.51
2014-07-01,FMCKJ,196328.0,-27.474,10.95
2014-07-01,ENIP,190300.0,81.902,0.022
2014-07-01,IDST,183333.0,-66.298,0.01
2014-07-01,MAXD,173401.0,-72.51,0.0895
2014-07-01,SIAF,169705.0,-7.227,0.423
2014-07-01,SWVI,156226.0,858.207,0.01
2014-07-01,ENCR,155942.0,-37.655,0.58
2014-07-01,ROIL,150656.0,14965.6,0.185
2014-07-01,VAPO,148951.0,-29.628,0.093
2014-07-01,HIPP,146750.0,14.918,0.135
2014-07-01,VNTH,146080.0,-13.878,0.29
2014-07-01,AEGA,141431.0,46.713,0.0344
2014-07-01,GFOX,135911.0,101.852,0.785
2014-07-01,GSPE,132960.0,-64.934,0.5
2014-07-01,FTTN,127262.0,597.326,0.1231
2014-07-01,FARE,126050.0,-47.712,0.055
2014-07-01,GFOO,112000.0,591.358,0.009
2014-06-30,GHDC,111600.0,-77.538,0.065
2014-07-01,FNMAS,104323.0,-73.83,10.37
2014-07-01,TTNP,88079.0,-1.821,0.765
2014-07-01,NMED,85998.0,-75.397,1.4
2014-07-01,GTHP,83835.0,-52.557,0.467
2014-07-01,LIBE,81050.0,-73.628,0.0846
2014-07-01,VASO,62668.0,424.418,0.285
2014-07-01,ALKM,61840.0,-63.111,0.12
2014-07-01,INNO,60000.0,-32.584,0.0176
2014-07-01,RCHA,56250.0,-62.569,0.06
2014-07-01,COCP,53110.0,-65.283,0.31
2014-07-01,MRIC,51557.0,-56.618,1.2
2014-07-01,RBCC,44658.0,-2.227,0.0818
2014-07-01,KDUS,40447.0,-68.043,1.7
2014-06-30,WHLM,37650.0,-83.609,0.285
2014-07-01,BMIX,35678.0,-34.9,0.0728
2014-07-01,DLPM,35609.0,-21.664,0.31
2014-07-01,NSATF,35000.0,-12.5,0.5
2014-07-01,VEND,31580.0,20.433,2.02
2014-07-01,BKCT,27958.0,2695.8,0.17
2014-07-01,SCIO,27900.0,24.57,0.46
2014-07-01,FNMAT,27868.0,-70.268,12.65
2014-07-01,SLNN,18969.0,-49.454,0.15
2014-07-01,VUZI,14951.0,-65.912,2.8
2014-07-01,PARR,14701.0,-65.468,20.95
2014-07-01,PWEB,11000.0,-92.582,0.0172
2014-07-01,RJDG,10250.0,-96.254,0.004
2014-07-01,SNGX,9975.0,-50.043,2.13
2014-07-01,HORI,7871.0,-86.538,0.2635
2014-07-01,OREO,6770.0,57.442,0.0081
2014-07-01,INIS,2000.0,-8.046,0.045
2014-07-01,GEIG,1000.0,-97.685,0.0097
